Unnamed: 0.1,Unnamed: 0,name,year,movie_rated,run_length,genres,release_date,rating,num_raters,num_reviews,review_url,movie_id,clean_title,imdb_id,description
0,0,The Dark Knight,2008,PG-13,2h 32min,Action; Crime; Drama; ,18 July 2008 (USA),9.0,2224522,6836,https://www.imdb.com/title/tt0468569/reviews/_ajax?ref_=undefined&paginationKey=,0,the dark knight,tt0468569,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness."
1,1,Inception,2010,PG-13,2h 28min,Action; Adventure; Sci-Fi; ,16 July 2010 (USA),8.8,1981675,3820,https://www.imdb.com/title/tt1375666/reviews/_ajax?ref_=undefined&paginationKey=,1,inception,tt1375666,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
2,2,The Matrix,1999,R,2h 16min,Action; Sci-Fi; ,31 March 1999 (USA),8.7,1619761,4281,https://www.imdb.com/title/tt0133093/reviews/_ajax?ref_=undefined&paginationKey=,2,the matrix,tt0133093,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
3,3,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,2h 58min,Action; Adventure; Drama; ,19 December 2001 (USA),8.8,1609165,5365,https://www.imdb.com/title/tt0120737/reviews/_ajax?ref_=undefined&paginationKey=,3,the lord of the rings: the fellowship of the ring,tt0120737,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
4,4,The Dark Knight Rises,2012,PG-13,2h 44min,Action; Adventure; ,20 July 2012 (USA),8.4,1470329,2979,https://www.imdb.com/title/tt1345836/reviews/_ajax?ref_=undefined&paginationKey=,4,the dark knight rises,tt1345836,"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again."
5,5,Gladiator,2000,R,2h 35min,Action; Adventure; Drama; ,5 May 2000 (USA),8.5,1297718,2636,https://www.imdb.com/title/tt0172495/reviews/_ajax?ref_=undefined&paginationKey=,5,gladiator,tt0172495,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
6,6,Batman Begins,2005,PG-13,2h 20min,Action; Adventure; ,15 June 2005 (USA),8.2,1269027,2885,https://www.imdb.com/title/tt0372784/reviews/_ajax?ref_=undefined&paginationKey=,6,batman begins,tt0372784,"After witnessing his parents' death, billionaire Bruce Wayne learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city."
7,7,The Avengers,2012,PG-13,2h 23min,Action; Adventure; Sci-Fi; ,4 May 2012 (USA),8.0,1236048,1929,https://www.imdb.com/title/tt0848228/reviews/_ajax?ref_=undefined&paginationKey=,7,the avengers,tt0848228,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.
8,8,Star Wars: Episode IV - A New Hope,1977,PG,2h 1min,Action; Adventure; Fantasy; ,25 May 1977 (USA),8.6,1197132,1834,https://www.imdb.com/title/tt0076759/reviews/_ajax?ref_=undefined&paginationKey=,8,star wars: episode iv - a new hope,tt0076759,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
9,9,Star Wars: Episode V - The Empire Strikes Back,1980,PG,2h 4min,Action; Adventure; Fantasy; ,20 June 1980 (USA),8.7,1124834,1214,https://www.imdb.com/title/tt0080684/reviews/_ajax?ref_=undefined&paginationKey=,9,star wars: episode v - the empire strikes back,tt0080684,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy."
